K-Means
Preprocessing,No Preprocessing,No Preprocessing,No Preprocessing,Normalize,Normalize,Normalize,Transform,Transform,Transform,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
Clusters,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5
Silhouette,0.35745369258527165,0.35745369258527165,0.35745369258527165,0.3052969131007423,0.3052969131007423,0.3052969131007423,0.35745369258527165,0.35745369258527165,0.35745369258527165,0.45285311347101753,0.45285311347101753,0.45285311347101753,0.3052969131007423,0.3052969131007423,0.3052969131007423,0.34540371986921437,0.34540371986921437,0.34540371986921437
Calinski-Harabasz,437.6032109356821,437.6032109356821,437.6032109356821,792.9178744768882,792.9178744768882,792.9178744768882,437.6032109356821,437.6032109356821,437.6032109356821,733.3690702858188,733.3690702858188,733.3690702858188,792.9178744768882,792.9178744768882,792.9178744768882,1138.4142263336855,1138.4142263336855,1138.4142263336855
Davies-Bouldin,0.9227907767459385,0.9227907767459385,0.9227907767459385,1.0672023174841174,1.0672023174841174,1.0672023174841174,0.9227907767459385,0.9227907767459385,0.9227907767459385,0.6946731898771722,0.6946731898771722,0.6946731898771722,1.0672023174841174,1.0672023174841174,1.0672023174841174,0.9040026437412586,0.9040026437412586,0.9040026437412586


Hierarchical
Preprocessing,No Preprocessing,No Preprocessing,No Preprocessing,Normalize,Normalize,Normalize,Transform,Transform,Transform,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
Clusters,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5
Silhouette,0.6867350732769777,0.6867350732769777,0.6867350732769777,0.8192435078941299,0.8192435078941299,0.8192435078941299,0.6867350732769777,0.6867350732769777,0.6867350732769777,0.7112353733227553,0.7112353733227553,0.7112353733227553,0.8192435078941299,0.8192435078941299,0.8192435078941299,0.8338554594825396,0.8338554594825396,0.8338554594825396
Calinski-Harabasz,502.82156350235897,502.82156350235897,502.82156350235897,1633.998495928731,1633.998495928731,1633.998495928731,502.82156350235897,502.82156350235897,502.82156350235897,557.4610324586056,557.4610324586056,557.4610324586056,1633.998495928731,1633.998495928731,1633.998495928731,1857.6575799771335,1857.6575799771335,1857.6575799771335
Davies-Bouldin,0.38275284210068616,0.38275284210068616,0.38275284210068616,0.24068908435106223,0.24068908435106223,0.24068908435106223,0.38275284210068616,0.38275284210068616,0.38275284210068616,0.34936294249754146,0.34936294249754146,0.34936294249754146,0.24068908435106223,0.24068908435106223,0.24068908435106223,0.219953799628789,0.219953799628789,0.219953799628789


Gaussian
Preprocessing,No Preprocessing,No Preprocessing,No Preprocessing,Normalize,Normalize,Normalize,Transform,Transform,Transform,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
Clusters,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5
Silhouette,0.5011761635067206,0.5011761635067206,0.5011761635067206,0.5751523493085067,0.5751523493085067,0.5751523493085067,0.5011761635067206,0.5011761635067206,0.5011761635067206,0.5313081506004008,0.5313081506004008,0.5313081506004008,0.5751523493085067,0.5751523493085067,0.5751523493085067,0.6091023941556493,0.6091023941556493,0.6091023941556493
Calinski-Harabasz,481.78070899745234,481.78070899745234,481.78070899745234,1441.9426978067797,1441.9426978067797,1441.9426978067797,481.78070899745234,481.78070899745234,481.78070899745234,563.922797678143,563.922797678143,563.922797678143,1441.9426978067797,1441.9426978067797,1441.9426978067797,1771.0540887273733,1771.0540887273733,1771.0540887273733
Davies-Bouldin,0.7483456326731005,0.7483456326731005,0.7483456326731005,0.6470145435995206,0.6470145435995206,0.6470145435995206,0.7483456326731005,0.7483456326731005,0.7483456326731005,0.6721186915685715,0.6721186915685715,0.6721186915685715,0.6470145435995206,0.6470145435995206,0.6470145435995206,0.5753572998241323,0.5753572998241323,0.5753572998241323
